Feature,Max Freq,Desv Pad
rel,49.9423002949096,0.17627454964756772
rel,49.880488111712175,0.7312399755569481
rel,49.85269033958753,0.6699789879374725
rel,49.94443758488701,0.6221745611221782
rel,49.93477315552978,0.5395502556489056
rel,49.93477315552978,0.5662068910875515
pedra,10.445991998814637,0.9780630721103782
pedra,49.93749131823865,0.9100151791485928
pedra,55.75892273499804,0.9276879823277079
pedra,49.931807849674186,0.9562489169586796
pedra,89.46795482378553,0.9038697875575821
papel,121.2334914732658,0.8412794439681457
papel,70.2275692129294,0.951363477409564
papel,72.91792944599345,0.8551613000930877
papel,109.06245747720779,0.8541759632017901
papel,87.58637410595225,0.8684868146863917
tes,138.9558802667045,0.8367302543783499
tes,68.30756135622073,0.87552455742908
tes,49.949994443827094,0.8716583684464013
tes,84.84147503061641,0.8445835210525685
tes,49.93477315552978,0.8306257849165386
